Mod,GitHub,来源,本地反编译,代码行数,jar
Corail Tombstone,https://github.com/Corail31/tombstone_lite,本地 jar 元数据,Y,39465,tombstone-neoforge-1.21.1-9.5.5.jar
CorgiLib,https://github.com/CorgiTaco/CorgiLib,搜索,,,
Cosmetic Armor Reworked,https://github.com/Leclowndu93150/Corpse-Cosmetic-Armor-Compat,搜索,,,
Crafting on a stick,https://github.com/OfekN-mods/crafting-on-a-stick,搜索,,,
Crafting Tweaks,https://github.com/TwelveIterations/CraftingTweaks,搜索,,,
Crash Assistant,https://github.com/KostromDan/Crash-Assistant,搜索,,,
Crash Utilities,https://github.com/Darkere/CrashUtilities,本地 jar 元数据,Y,6027,crashutilities-9.0.4.jar
Create,https://github.com/Creators-of-Create/Create,已知,,,
Create Crafts & Additions,https://github.com/mrh0/createaddition,已知,,,
Create: Aquatic Ambitions,https://github.com/Creators-of-Create/Create,已知,,,
Create: Bells & Whistles,https://github.com/Creators-of-Create/Create,已知,,,
Create: Dragons Plus,https://github.com/DragonsPlusMinecraft/CreateDragonsPlus,已知,,,
Create: Enchantment Industry,https://github.com/DragonsPlusMinecraft/CreateEnchantmentIndustry,已知,,,
Create: Hypertubes,https://github.com/PedroRok/CreateHypertubes,已知,,,
Creeper Overhaul,https://github.com/bonsaistudi0s/Creeper-Overhaul,已知,,,
CreeperHost Presents Steve's Carts,https://github.com/CreeperHost/StevesCarts2,搜索,,,
Cristel Lib,https://github.com/Cristelknight999/Cristel-Lib,已知,,,
Cryonic Config,https://github.com/matthewperiut/cryonic_config,搜索,,,
Crystalix,https://github.com/Satherov/Crystalix,搜索,,,
Cucumber Library,https://github.com/BlakeBr0/Cucumber,已知,,,
Cupboard,https://github.com/gungun974/BTA-Cupboards,搜索,,,
Curios API,https://github.com/TheIllusiveC4/Curios,已知,,,
Cyclops Core,https://github.com/CyclopsMC/CyclopsCore,已知,,,
Dark Mode Everywhere,https://github.com/Buuz135/DarkModeEverywhere,搜索,,,
Deeper and Darker,https://github.com/KyaniteMods/DeeperAndDarker,搜索,,,
Deimos Lib,,,Y,1278,deimos-1.21.1-neoforge-2.7.jar
DimStorage,https://github.com/Edivad99/DimStorage,搜索,,,
Dis-Enchanting Table,https://github.com/Mods-For-Lupin/Dis-Enchanting-Redux,搜索,,,
Domum Ornamentum,https://github.com/ldtteam/Domum-Ornamentum,本地 jar 元数据,Y,15499,domum-ornamentum-1.0.234-snapshot-main.jar
Draconic Evolution,https://github.com/Draconic-Inc/Draconic-Evolution,搜索,,,
Drippy Loading Screen,https://github.com/Keksuccino/Drippy-Loading-Screen,已知,,,
Dungeon Crawl,https://github.com/xyroc/DungeonCrawl,搜索,,,
Dyenamics,https://github.com/JDKDigital/dyenamicsandfriends,搜索,,,
Dyenamics and Friends,https://github.com/JDKDigital/dyenamicsandfriends,搜索,,,
Dyson Cube Project,,,Y,3183,dysoncubeproject-1.0.5.jar
Easy Villagers,https://github.com/henkelmax/easy-villagers,搜索,,,
EdivadLib,https://github.com/Edivad99/EdivadLib,搜索,,,
Enchantment Descriptions,https://github.com/Darkhax-Minecraft/Enchantment-Descriptions,已知,,,
Ender IO,https://github.com/Team-EnderIO/EnderIO,已知,,,
Ender Storage 1.8.+,https://github.com/gigabit101/EnderStorage,已知,,,
EnderDrives,https://github.com/STS15/enderdrives,搜索,,,
Enderman Overhaul,https://github.com/bonsaistudi0s/Enderman-Overhaul,已知,,,
Energy Meter,https://github.com/AlmostReliable/energymeter,搜索,,,
Entangled,https://github.com/SuperMartijn642/Entangled,搜索,,,
Eternal Starlight,https://github.com/LeoMinecraftModding/eternal-starlight,已知,,,
Euphoria Patches,https://github.com/EuphoriaPatches/EuphoriaPatcher,已知,,,
Everything is Copper,https://github.com/JDKDigital/everythingcopper,搜索,,,
EvilCraft,https://github.com/CyclopsMC/EvilCraft,已知,,,
Expanded AE,https://github.com/ko-lja/expandedae,搜索,,,
ExperienceLib,https://github.com/alec016/experiencelib,搜索,,,
Explorer's Compass,https://github.com/MattCzyr/ExplorersCompass,已知,,,
Explorify – Dungeons & Structures,,,Y,0,Explorify v1.6.5.mod.jar
Extended Industrialization,https://github.com/Swedz/Extended-Industrialization,搜索,,,
ExtendedAE,https://github.com/GaLicn/ExtendedAE_Plus,搜索,,,
Extra Disks,https://github.com/ChaoticTrials/ExtraDisks,搜索,,,
ExtraStorage,https://github.com/Edivad99/ExtraStorage,搜索,,,
Extreme Reactors,https://github.com/ZeroNoRyouki/ExtremeReactors,已知,,,
Extreme sound muffler - (Neo)Forge,https://github.com/ZeroNoRyouki/ExtremeReactors2,本地 jar 元数据,Y,28447,ExtremeReactors2-1.21.1-2.4.28.jar
Factory Blocks [Forge/Fabric/NeoForge],https://github.com/matthewperiut/factory_blocks,搜索,,,
FancyMenu,https://github.com/Keksuccino/FancyMenu,已知,,,
Farmer's Delight,https://github.com/vectorwing/FarmersDelight,已知,,,
Farming for Blockheads,https://github.com/TwelveIterations/FarmingForBlockheads,搜索,,,
FastFurnace,https://github.com/Shadows-of-Fire/FastFurnace,搜索,,,
FastSuite,https://github.com/Shadows-of-Fire/FastSuite,搜索,,,
FastWorkbench,https://github.com/Shadows-of-Fire/FastWorkbench,搜索,,,
FerriteCore ((Neo)Forge),,,Y,3211,ferritecore-7.0.3-neoforge.jar
Fireproof Boats,https://github.com/JDKDigital/fireproofboats,搜索,,,
FlickerFix,https://github.com/jeremiahwinsley/flickerfix,搜索,,,
Flux Networks,https://github.com/McJty/XNet,已知,,,
Forbidden and Arcanus,https://github.com/stal111/Forbidden-Arcanus,搜索,,,
Formations (Structure Library),https://github.com/SuperMartijn642/Formations,搜索,,,
Formations Nether,https://github.com/SuperMartijn642/FormationsNether,搜索,,,
Formations Overworld,https://github.com/SuperMartijn642/FormationsOverworld,搜索,,,
FramedBlocks,https://github.com/XFactHD/FramedBlocks,已知,,,
Framework,https://github.com/sisby-folk/surveyor,搜索,,,
FTB Chunks (NeoForge),https://github.com/maks-gaming/ftbchunksaerospace,搜索,,,
FTB Essentials (Forge & Fabric),,,Y,4733,ftb-essentials-neoforge-2101.1.10.jar
FTB Filter System,,,Y,4939,ftb-filter-system-neoforge-21.1.4.jar
FTB JEI Extras,https://github.com/mezz/JustEnoughItems,已知,,,
FTB Library (NeoForge),https://github.com/BlakeBr0/Cucumber,本地 jar 元数据,Y,6001,Cucumber-1.21.1-8.0.16.jar
FTB Quests (NeoForge),https://github.com/txnimc/FTBQuestsFreezeFix,搜索,,,
FTB Ranks (NeoForge),https://github.com/MEGATREX4/ftb-ranks-inventoryweight,搜索,,,
FTB Teams (NeoForge),https://github.com/HenryCROSS/Irons-Spell-N-FTB-Teams,搜索,,,
FTB Ultimine (NeoForge),https://github.com/GaLicn/Ultimine-Rewind,搜索,,,
FTB XMod Compat,,,Y,3846,ftb-xmod-compat-neoforge-21.1.11.jar
Fuel Goes Here,https://github.com/JDKDigital/fuelgoeshere,搜索,,,
Functional Storage,https://github.com/Buuz135/Functional-Storage,已知,,,
Fusion (Connected Textures),https://github.com/SuperMartijn642/Fusion,已知,,,
Fzzy Config,https://github.com/fzzyhmstrs/fconfig,已知,,,
Gateways to Eternity,https://github.com/Shadows-of-Fire/GatewaysToEternity,搜索,,,
GeckoLib,https://github.com/bernie-g/geckolib,已知,,,
Generator Galore,https://github.com/JDKDigital/generatorgalore,搜索,,,
"Get It Together, Drops!",https://github.com/bl4ckscor3/GetItTogetherDrops,搜索,,,
Glassential Renewed,https://github.com/bigenergy/glassential-renewed,搜索,,,
Glodium,https://github.com/GlodBlock/Glodium,搜索,,,
Gravitational Modulating Additional Unit,https://github.com/gisellevonbingen/Minecraft-GravitationalModulatingAdditionalUnit,本地 jar 元数据,Y,809,GravitationalModulatingAdditionalUnit-1.21.1-6.4.jar
GuideME,https://github.com/AppliedEnergistics/GuideME,已知,,,
Handcrafted,https://github.com/terrarium-earth/Handcrafted,已知,,,
Hardened Armadillos,https://github.com/JDKDigital/hardenedarmadillos,本地 jar 元数据,Y,163,hardenedarmadillos-1.21.1-0.2.0.jar
Hey Berry! SHUT UP,https://github.com/JDKDigital/heyberry,搜索,,,
Hostile Neural Networks,https://github.com/Shadows-of-Fire/Hostile-Neural-Networks,搜索,,,
I'm Fast,https://github.com/Gabriel-Hiss/Im-Fast,搜索,,,
IceAndFire Community Edition,https://github.com/IAFEnvoy/IceAndFire-CE,本地 jar 元数据,Y,63051,[冰火传说社区版] iceandfire-2.1.jar
Iceberg [Neo/Forge],https://github.com/AHilyard/Iceberg,已知,,,
Illager Warship,,,Y,76,illagerwarship-1.0.1-neoforge-1.21.1.jar
ImmediatelyFast,https://github.com/RaphiMC/ImmediatelyFast,已知,,,
Immersive Energistics,https://github.com/AppliedEnergistics/Immersive-Energistics,本地 jar 元数据,Y,688,Immersive-Energistics-1.1.0-beta.jar
Immersive Engineering,https://github.com/BluSunrize/ImmersiveEngineering,已知,,,
In Control!,https://github.com/McJtyMods/InControl,已知,,,
Industrial Foregoing,https://github.com/Buuz135/Industrial-Foregoing,已知,,,
Industrial Foregoing Souls,https://github.com/Buuz135/Industrial-Foregoing,已知,,,
Industrialization Overdrive,https://github.com/WhitePhant0m/Industrialization-Overdrive,搜索,,,
Integrated Crafting,https://github.com/CyclopsMC/IntegratedCrafting,已知,,,
Integrated Dynamics,https://github.com/CyclopsMC/IntegratedDynamics,已知,,,
Integrated Scripting,https://github.com/CyclopsMC/IntegratedScripting,搜索,,,
Integrated Terminals,https://github.com/CyclopsMC/IntegratedTerminals,已知,,,
Integrated Tunnels,https://github.com/CyclopsMC/IntegratedTunnels,已知,,,
Interdimensional Wireless Transmitter,https://github.com/starforcraft/Interdimensional-Wireless-Transmitter,搜索,,,
Invasive Optimizations,https://github.com/Vonr/invasiveopts,搜索,,,
Inventory Tweaks - ReFoxed,https://github.com/JDKDigital/InvTweaksRefoxed,搜索,,,
Iris & Oculus Search,https://github.com/SpacEagle17/IrisSearch,搜索,,,
Iris Shaders,https://github.com/IrisShaders/Iris,已知,,,
Iron Furnaces,https://github.com/Qelifern/IronFurnaces,已知,,,
Iron Jetpacks,https://github.com/BlakeBr0/IronJetpacks,已知,,,
Iron's Gems 'n Jewelry,https://github.com/iron431/irons-jewelry,搜索,,,
Iron's Lib,,,Y,6254,irons_lib-1.21.1-2.1.0.jar
Iron's Spells 'n Spellbooks,https://github.com/Iron431/irons-spells-n-spellbooks,已知,,,
Item Collectors,https://github.com/SuperMartijn642/ItemCollectors,已知,,,
Jade 🔍,https://github.com/Snownee/Jade,已知,,,
Jonn's Trophies,https://github.com/JDKDigital/trophymanager,搜索,,,
JourneyMap,https://github.com/TeamJM/journeymap,搜索,,,
Jumpy Boats,https://github.com/JDKDigital/jumpboat,搜索,,,
Jupiter,https://github.com/IAFEnvoy/Jupiter,已知,,,
Just Dire Things,https://github.com/An0mz/JustDireThings,搜索,,,
Just Enough Archaeology,,,Y,1099,jearchaeology-1.21.1-1.2.0.jar
Just Enough Breeding (JEBr),https://github.com/Christofmeg/JustEnoughBreeding,搜索,,,
Just Enough Items (JEI),https://github.com/mezz/JustEnoughItems,已知,,,
Just Enough Mekanism Multiblocks,https://github.com/mekanism/Mekanism,已知,,,
Just Enough Professions (JEP),https://github.com/Mrbysco/JustEnoughProfessions,搜索,,,
Just Zoom,https://github.com/Keksuccino/JustZoom,搜索,,,
KeyBind Bundles,,,Y,2225,keybindbundles-1.4.0.jar
KeybindsPurger,https://github.com/ZedDevStuff/KeybindsPurger,搜索,,,
Konkrete,https://github.com/Keksuccino/Konkrete,已知,,,
Kotlin for Forge,https://github.com/thedarkcolour/KotlinForForge,已知,,,
KubeJS,https://github.com/KubeJS-Mods/KubeJS,已知,,,
KubeJS Tweaks,,,Y,5688,kubejstweaks-1.0.6.jar
L_Ender 's Cataclysm,https://github.com/lender544/new1.20.1,已知,,,
Laser Bridges & Doors [Fabric/Forge/NeoForge],https://github.com/Mars-The-Planet/Laser-Bridges-And-Doors,搜索,,,
LaserIO,https://github.com/Direwolf20-MC/LaserIO,已知,,,
Lionfish API,https://github.com/lender544/Lionfish-API,已知,,,
Lithostitched,https://github.com/Apollounknowndev/lithostitched,已知,,,
Little Big Redstone,https://github.com/Swedz/Little-Big-Redstone,搜索,,,
LivingThings,https://github.com/tristankechlo/LivingThings,搜索,,,
Load My F***ing Tags,https://github.com/Dragon-Seeker/LoadMyFuckingTags,搜索,,,
Logistics Network,https://github.com/Almana-mc/LogisticsNetworks,搜索,,,
Lootr (Forge & NeoForge),https://github.com/noobanidus/lootr,已知,,,
Luminax,https://github.com/Satherov/Luminax,搜索,,,
Macaw's Bridges,https://github.com/sketchmacaw/Bridges,已知,,,
Macaw's Doors,https://github.com/sketchmacaw/MacawsDoors,已知,,,
Macaw's Fences and Walls,https://github.com/sketchmacaw/Fences,已知,,,
Macaw's Furniture,,,Y,5018,mcw-furniture-3.4.1-mc1.21.1neoforge.jar
Macaw's Holidays,,,Y,4461,mcw-holidays-1.1.2-mc1.21.1neoforge.jar
Macaw's Lights and Lamps,,,Y,2375,mcw-lights-1.1.5-mc1.21.1neoforge.jar
Macaw's Paths and Pavings,https://github.com/sketchmacaw/Paths-Pavings,已知,,,
Macaw's Roofs,https://github.com/Samlegamer/Macaw-s-Roofs-Compat,搜索,,,
Macaw's Stairs,https://github.com/sketchmacaw/Macaws-Stairs,已知,,,
Macaw's Trapdoors,https://github.com/sketchmacaw/Trapdoors,已知,,,
Macaw's Windows,,,Y,2961,[Macaw 的窗户] mcw-mcwwindows-2.4.2-mc1.21.1neoforge.jar
Mahou Tsukai,,,Y,68424,mahoutsukai-1.21.1-v1.36.27.jar
MakeUp - Ultra Fast | Shaders,https://github.com/javiergcim/MakeUpUltraFast,搜索,,,
Mama's Herbs and Harvest,,,Y,15169,herbsandharvest-1.21.1-19.jar
Mama's Merrymaking - A Minecraft Christmas and Winter Holiday Mod,,,Y,13302,merrymaking-1.21.1-16.jar
McJtyLib,https://github.com/McJty/McJtyLib,搜索,,,
ME Requester,https://github.com/AlmostReliable/merequester,已知,,,
Measurements,https://github.com/Mrbysco/Measurements,搜索,,,
MEGA Cells,https://github.com/62832/MEGACells,搜索,,,
Mekanism,https://github.com/mekanism/Mekanism,已知,,,
Mekanism Covers,https://github.com/mekanism/Mekanism,已知,,,
Mekanism Generators,https://github.com/mekanism/Mekanism,已知,,,
Mekanism Tools,https://github.com/mekanism/Mekanism,已知,,,
Mekanism:More Machine,https://github.com/mekanism/Mekanism,已知,,,
Mekanistic Routers,https://github.com/MatyrobbrtMods/MekanisticRouters,搜索,,,
Melody,https://github.com/Keksuccino/Melody,已知,,,
Memory Settings,,,Y,527,memorysettings-1.21-6.0.jar
MES - Moog's End Structures,https://github.com/FinnSetchell/MoogsEndStructures,已知,,,
MineColonies,https://github.com/ARxyt/ColonyPathingEdition,搜索,,,
Mining Gadgets,https://github.com/AlphaMode/MiningGadgets,搜索,,,
MmmMmmMmmMmm (Target Dummy),https://github.com/MehVahdJukaar/DuMmmMmmy,已知,,,
MNS - Moog's Nether Structures,https://github.com/FinnSetchell/MoogsNetherStructures2,搜索,,,
Mo' Structures (NeoForge/Fabric),https://github.com/frqnny/mostructures,搜索,,,
Mob Grinding Utils,https://github.com/vadis365/Mob-Grinding-Utils,已知,,,
Model Gap Fix,https://github.com/MehVahdJukaar/modefix-multi,搜索,,,
Modern Dynamics,https://github.com/Technici4n/Modern-Dynamics,搜索,,,
Modern Industrialization,https://github.com/Technici4n/Modern-Industrialization,已知,,,
ModernFix,https://github.com/embeddedt/ModernFix,已知,,,
Modonomicon,https://github.com/klikli-dev/modonomicon,搜索,,,
Modular Bees,,,Y,13468,ModularBees-1.21.1-3.4-neoforge.jar
Modular Force Field Systems (MFFS),https://github.com/McJty/MFFS,已知,,,
Modular Routers,https://github.com/desht/ModularRouters,已知,,,
MonoLib,https://github.com/Mods-For-Lupin/MonoLib,搜索,,,
Moog's Structure Lib (moogs_structures),https://github.com/FinnSetchell/MoogsStructureLib,已知,,,
Moonlight Lib,https://github.com/MehVahdJukaar/Moonlight,已知,,,
More Dragon Eggs,,,Y,120,moredragoneggs-5.0.jar
More Industrial Foregoing Addons (MIFA),https://github.com/Buuz135/Industrial-Foregoing,已知,,,
More Overlays Updated,https://github.com/r8420/MoreOverlays-updated,搜索,,,
More Red,https://github.com/Commoble/MoreRed,已知,,,
More Red x CC:Tweaked Compat,https://github.com/Commoble/MoreRed,已知,,,
Mouse Tweaks,https://github.com/YaLTeR/MouseTweaks,已知,,,
MrCrayfish's Furniture Mod: Refurbished,,,Y,41781,[MrCrayfish 的家具：重制] refurbished_furniture-neoforge-1.21.1-1.0.22.jar
MSS - Moog's Soaring Structures,https://github.com/FinnSetchell/MoogsSoaringStructures,搜索,,,
Multi-Piston,https://github.com/ldtteam/Piston-Unlimited,本地 jar 元数据,Y,704,multipiston-1.2.58-1.21.1.jar
MVS - Moog's Voyager Structures,https://github.com/Moog-s-Mods/MoogsVoyagerStructures,搜索,,,
Mystical Agradditions,https://github.com/BlakeBr0/MysticalAgradditions,已知,,,
Mystical Agriculture,https://github.com/BlakeBr0/MysticalAgriculture,已知,,,
Mystical Customization,https://github.com/BlakeBr0/MysticalCustomization,搜索,,,
Nature's Aura,https://github.com/Ellpeck/NaturesAura,搜索,,,
Nature's Compass,https://github.com/MattCzyr/NaturesCompass,已知,,,
Neo Vitae,https://github.com/breakinblocks/NeoVitae,搜索,,,
NeoAuth,https://github.com/Mrbysco/NeoAuth,搜索,,,
Nether Trials & Chambers,,,Y,41,HellishTrials-neoforge-1.0.5.jar
NetherPortalFix,https://github.com/TwelveIterations/NetherPortalFix,已知,,,
No Chat Reports,https://github.com/Aizistral-Studios/No-Chat-Reports,已知,,,
No Villager Death Messages,https://github.com/jeremiahwinsley/novillagerdm,搜索,,,
Not Enough Animations,https://github.com/tr7zw/NotEnoughAnimations,已知,,,
Not Enough Glyphs,https://github.com/Alexthw46/NotEnoughGlyphs,搜索,,,
Nullscape,https://github.com/Stardust-Labs-MC/Nullscape,搜索,,,
Observable,https://github.com/tasgon/observable,搜索,,,
Occultism,https://github.com/klikli-dev/occultism,已知,,,
Occultism KubeJS,https://github.com/klikli-dev/occultism,已知,,,
Oh The Biomes We've Gone,https://github.com/Potion-Studios/Oh-The-Biomes-Weve-Gone,搜索,,,
Oh The Trees You'll Grow,https://github.com/CorgiTaco/Oh-The-Trees-Youll-Grow,搜索,,,
Omega Config,,,Y,442,omegaconfig-neoforge-1.5.1.jar
Open Loader,https://github.com/Darkhax-Minecraft/Open-Loader,搜索,,,
OpenBlocks Elevator,https://github.com/ImFalling/OpenBlocks_Elevator_Fabric,搜索,,,
Oracle Index,https://github.com/Rearth/Oracle-Index,搜索,,,
Oritech,https://github.com/Rearth/Oritech,搜索,,,
Overloaded Armor Bar,https://github.com/Tfarcenim/OverloadedArmorBar,搜索,,,
oωo (owo-lib),https://github.com/glisco03/owo-lib,已知,,,
Pam's HarvestCraft 2 - Crops,,,Y,1753,pamhc2crops-NEOFORGE-1.21.1-1.0.9.jar
Pam's HarvestCraft 2 - Food Core,,,Y,476,pamhc2crops-NEOFORGE-1.21.1-1.0.9.jar
