mod文件,项目名,GitHub,来源,本地反编译,代码行数
[机械动力：创想附加] createaddition-1.6.0.jar,Create Crafts & Additions,https://github.com/mrh0/createaddition,modrinth-api,,
[机械动力：原子核动] createnuclear-1.3.2-beta.3-neoforge.jar,Create Nuclear,https://github.com/Giovanniricotta2002/CreateNuclearForge,本地 jar 元数据,Y,11825
[机械动力：推进工程] createpropulsion-1.1.5.jar,Create Propulsion: Simulated,https://github.com/Propulsion-Team/create-propulsion-simulated,modrinth-api,,
[机械动力：无人机物流] create_mobile_packages-1.21.1-0.7.7.jar,Create: Mobile Packages,https://github.com/timplay33/Create-Mobile-Packages,modrinth-api,,
[机械动力：火炮] createbigcannons-5.11.7+mc.1.21.1.jar,Create Big Cannons,https://github.com/Cannoneers-of-Create/CreateBigCannons,modrinth-api,,
[机械动力：炫彩金库] create_vibrant_vaults-0.3.2.jar,Create: Vibrant Vaults,https://github.com/ZLT9/create-vibrant-vaults,modrinth-api,,
[机械动力：臂力臂力炒菜] create_cuisine-1.0.0-mc1.21.1-neoforge.jar,[机械动力：臂力臂力炒菜] create_cuisine-1.0.0-mc1.21.1-neoforge.jar,https://github.com/Creators-of-Create/Create,本地 jar 元数据,Y,241829
[机械动力：航空学] create-aeronautics-bundled-1.21.1-1.3.0.jar,Create Aeronautics,https://github.com/Creators-of-Aeronautics/Simulated-Project,modrinth-api,,
[机械动力：蓝图补丁] Create_Bugfix_Schematic_Patch-1.1.4.jar,Create Bugfix: Schematic Patch,https://github.com/cff1028/create_schematics_fix,modrinth-api,,
[机械动力：赛博护目镜] CreateCyberGoggles-1.21.1-8.3.15-NeoForge.jar,Create: Cyber Goggles,https://github.com/ForgeStove/CreateCyberGoogles,modrinth-api,,
[机械动力：雷达] create_radar-0.4.9.4-1.21.1.jar,Create: Radars,https://github.com/Arsenalists-of-Create/Create-Radar,modrinth-api,,
[机械动力：高级遥控器] create_tweaked_controllers-1.21.1-1.2.7.jar,Create: Tweaked Controllers,https://github.com/getItemFromBlock/Create-Tweaked-Controllers,modrinth-api,,
[果园乐事] fruitsdelight-1.2.14.jar,Fruits Delight,https://github.com/Minecraft-LightLand/FruitsDelight,modrinth-api,,
[森罗厨房：国味] kaleidoscope_chinesefood-1.1.10-neoforge+1.21.1.jar,KaleidoscopeChineseFood,,,Y,7501
[森罗物语：下界] kaleidoscope_nether-1.1.4-neoforge+mc1.21.1.jar,Kaleidoscope Nether,,,Y,4452
[森罗物语：兼容] kaleidoscope_compat-2.9.7-neoforge+mc1.21.1.jar,Kaleidoscope Compat,https://github.com/BmtUltra/Kaleidoscope-Compat,modrinth-api,,
[森罗物语：厨房] kaleidoscopecookery-1.4.1-neoforge+mc1.21.1.jar,Kaleidoscope Cookery,https://github.com/KaleidoscopeMods/KaleidoscopeCookery,modrinth-api,,
[森罗物语：暮色] kaleidoscope_twilight-1.1.3-neoforge+mc1.21.1.jar,Kaleidoscope Twilight,,,Y,8895
[森罗物语：末地] kaleidoscope_end-1.0.14-neoforge+mc1.21.1.jar,Kaleidoscope End,,,Y,4050
[森罗物语：次元酒窖] kaleidoscope_dim_wine-1.5.3-mc1.21.1-neoforge.jar,Kaleidoscope：Dimensions wine,https://github.com/WitherRedstone/Kaleidoscope-DimensionsWine,modrinth-api,,
[森罗物语：玩偶] kaleidoscopedoll-1.4.1-neoforge+mc1.21.1.jar,Kaleidoscope Doll,https://github.com/TartaricAcid/KaleidoscopeDoll,modrinth-api,,
[森罗酒馆：世界名酒] kaleidoscope_world_liquor-1.1.8-neoforge+1.21.1.jar,Kaleidoscope World Liquor,,,Y,7998
[森罗酒馆：血酒] kaleidoscope_bloodwine-1.1.0.jar,Kaleidoscope_bloodwine,https://github.com/baiyin1223/Kaleidoscope_bloodwine,modrinth-api,,
[永恒星光] eternalstarlight-0.9.0+1.21.1+neoforge.jar,Eternal Starlight,https://github.com/LeoMinecraftModding/eternal-starlight,modrinth-api,,
[沉浸式奏乐] immersive_melodies-neoforge-0.7.1+1.21.1.jar,Immersive Melodies,https://github.com/Luke100000/ImmersiveMelodies,modrinth-api,,
[潮汐] tide-neoforge-1.21.1-2.1.1.jar,Tide 2,https://github.com/Lightning-64/Tide-2,modrinth-api,,
[灾变：维度] cataclysm_dimension-neoforge1.21.1-1.7.0.jar,[灾变：维度] cataclysm_dimension-neoforge1.21.1-1.7.0.jar,,,Y,116174
[炽海生机] netherdepthsupgrade-3.1.8-1.21.jar,Nether Depths Upgrade,https://github.com/Scouter456/Nether_Depths_Upgrade,modrinth-api,,
[烘焙坊] bakeries-1.21.1-NeoForge-1.0.3.jar,[烘焙坊] bakeries-1.21.1-NeoForge-1.0.3.jar,https://github.com/Renyigesai/bakery,manual,,
[烛火晚宴] letsdo-candlelight-neoforge-2.1.12.jar,[Let's Do] Candlelight - Farm&Charm compat,https://github.com/Let-s-Do-Collection/Candlelight,modrinth-api,,
[热水澡] hotbath-1.21.1-4.1.0.jar,Hot Bath,,,Y,16135
[物品高亮] Highlighter-1.21-neoforge-1.1.11.jar,Item Highlighter,https://github.com/AHilyard/Highlighter,modrinth-api,,
[玩家救援] PlayerRevive_NEOFORGE_v2.1.2_mc1.21.1.jar,PlayerRevive,https://github.com/CreativeMD/PlayerRevive,modrinth-api,,
[现代化 UI] ModernUI-NeoForge-1.21.1-3.13.0.1-universal.jar,Modern UI,https://github.com/BloCamLimb/ModernUI-MC,modrinth-api,,
[生活调味料：胡萝卜版] solcarrot-1.21.1-1.16.6.jar,[生活调味料：胡萝卜版] solcarrot-1.21.1-1.16.6.jar,https://github.com/Cazsius/Spice-of-Life-Carrot-Edition,manual,,
[神化] Apotheosis-1.21.1-8.7.0.jar,Apotheosis,https://github.com/Shadows-of-Fire/Apotheosis,manual,,
[神化刷怪笼] ApothicSpawners-1.21.1-1.4.0.jar,Apothic-Spawners,https://github.com/Shadows-of-Fire/Apothic-Spawners,manual,,
[神话与传说] mythsandlegends-0.0.8.6.jar,Myths & Legends,,,Y,17750
[稀有精英怪] infernalmobs-1.21.1.3NF.jar,[稀有精英怪] infernalmobs-1.21.1.3NF.jar,https://github.com/AtomicStryker/atomicstrykers-minecraft-mods,manual,,
[脚步声NeoForge版] PresenceFootsteps-1.21.1-1.12.0-beta.1-1.21NeoForge.jar,Presence Footsteps (NeoForge),https://github.com/ZCRAFT-NPE/Presence-Footsteps-NeoForge,modrinth-api,,
[自动翻译] autotranslator.jar,autotranslator,,,Y,13015
[自然音效] AmbientSounds_NEOFORGE_v6.3.8_mc1.21.1.jar,AmbientSounds,https://github.com/CreativeMD/AmbientSounds,modrinth-api,,
[莱特兰-弓艺] l2archery-3.0.4.jar,L2 Archery,https://github.com/Minecraft-LightLand/L2Archery,modrinth-api,,
[葡园酒香] letsdo-vinery-neoforge-1.5.3.jar,[Let's Do] Vinery,https://github.com/Let-s-Do-Collection/vinery,modrinth-api,,
[输入法冲突修复] IMBlocker-5.5.4-neoforge+1.20.6-1.21.8.jar,IMBlocker,https://github.com/reserveword/IMBlocker,modrinth-api,,
[遗体] corpse-neoforge-1.21.1-1.1.13.jar,[遗体] corpse-neoforge-1.21.1-1.1.13.jar,https://github.com/henkelmax/corpse,manual,,
[钠／Embeddium：动态光源] sodiumdynamiclights-neoforge-1.0.10-1.21.1.jar,Sodium Dynamic Lights,https://github.com/txnimc/SodiumDynamicLights,modrinth-api,,
[静谧四季／季节] SereneSeasons-neoforge-1.21.1-10.1.0.3.jar,[静谧四季／季节] SereneSeasons-neoforge-1.21.1-10.1.0.3.jar,https://github.com/Glitchfiend/SereneSeasons,manual,,
[首领崛起] block_factorys_bosses-2.1.2-neo-1.21.1.jar,Bosses'Rise,,,Y,52417
[馥郁烘焙] letsdo-bakery-neoforge-2.1.6.jar,[Let's Do] Bakery - Farm&Charm Compat,https://github.com/Let-s-Do-Collection/Bakery,modrinth-api,,
[齿轮与酒馆] creategearsandtavern-1.1.6.jar,Create: Gears and Tavern,https://github.com/yision1/GearsandTavern,modrinth-api,,
advancednetherite-neoforge-2.3.1-1.21.1.jar,Advanced Netherite,https://github.com/Autovw/AdvancedNetherite,modrinth-api,,
alex前置citadel-1.21.1-2.7.6.jar,Citadel (Unofficial Port),https://github.com/Raguto/Citadel-1.21.1,modrinth-api,,
alex生物alexsmobs-1.22.17.jar,Alex's Mobs (Unofficial Port),https://github.com/Raguto/AlexsMobs-1.21.1,modrinth-api,,
alloy_smelter-neoforge-1.21.1-1.2.1.jar,Alloy Smelter,https://github.com/TheFogIOF/AlloySmelter,modrinth-api,,
appleskin-neoforge-mc1.21-3.0.9.jar,AppleSkin,https://github.com/squeek502/AppleSkin,modrinth-api,,
architectury-13.0.11-neoforge.jar,Architectury API,https://github.com/architectury/architectury,modrinth-api,,
armoreddoggo-neoforge-1.21-0.3.0.jar,Armored Doggo,https://github.com/DawnOfTimeMC/armoreddoggo,modrinth-api,,
armoroftheages-neoforge-1.21.1-1.5.10.jar,Armor of the Ages,https://github.com/DawnOfTimeMC/armoroftheages,modrinth-api,,
atlas_api-1.21.1-1.2.0.jar,atlas_api-1.21.1-1.2.0.jar,,,Y,591
attributefix-neoforge-1.21.1-21.1.3.jar,AttributeFix,https://github.com/Darkhax-Minecraft/AttributeFix,modrinth-api,,
balm-neoforge-1.21.1-21.0.65.jar,Balm,https://github.com/TwelveIterations/Balm,modrinth-api,,
biggerbetterendcities-1.21.1-1.0.0.jar,biggerbetterendcities-1.21.1-1.0.0.jar,,,Y,503
biomespy-neoforge-1.21.1-1.3.3.jar,BiomeSpy,https://github.com/MoePus/BiomeSpy,modrinth-api,,
bookshelf-neoforge-1.21.1-21.1.81.jar,Bookshelf,https://github.com/Darkhax-Minecraft/Bookshelf,modrinth-api,,
c2me-neoforge-mc1.21.1-0.4.0-alpha.0.116.jar,Concurrent Chunk Management Engine (NeoForge),https://github.com/RelativityMC/C2ME-neoforge,modrinth-api,,
chefsdelight-1.0.5-neoforge-1.21.1.jar,Chef's Delight - Farmer's Delight Villagers,,,Y,276
clientsort-neoforge-3.89.0-beta.2+1.21.1.jar,clientsort-neoforge-3.89.0-beta.2+1.21.1.jar,https://github.com/TerminalMC/ClientSort,manual,,
cloth-config-15.0.140-neoforge.jar,Cloth Config API,https://github.com/shedaniel/ClothConfig,modrinth-api,,
colorfulhearts-neoforge-1.21.1-10.5.9.jar,Colorful Hearts,https://github.com/Terrails/colorful-hearts,modrinth-api,,
colorwheel-neoforge-1.2.9+mc1.21.1.jar,Colorwheel,https://github.com/djefrey/Colorwheel,modrinth-api,,
colorwheel_patcher-neoforge-1.0.5+mc1.21.1.jar,Colorwheel Patcher,https://github.com/djefrey/Colorwheel-Patcher,modrinth-api,,
configured-neoforge-1.21.1-2.6.3.jar,configured-neoforge-1.21.1-2.6.3.jar,https://github.com/MrCrayfish/Configured,manual,,
constructionwand-kots-1.21.1-2.16.12.jar,Construction Wand - KOTS,https://github.com/GLDYM/ConstructionWand-KOTS,modrinth-api,,
copycats-3.0.8+mc.1.21.1-neoforge.jar,Create: Copycats+,https://github.com/copycats-plus/copycats,modrinth-api,,
create-1.21.1-6.0.10.jar,Create,https://github.com/Creators-of-Create/Create,modrinth-api,,
create-enchantment-industry-2.5.3.jar,Create: Enchantment Industry,https://github.com/DragonsPlusMinecraft/CreateEnchantmentIndustry,modrinth-api,,
create-integrated-farming-1.3.2.jar,Create: Integrated Farming,https://github.com/DragonsPlusMinecraft/CreateIntegratedFarming,modrinth-api,,
create_compressed-2.2.0-neoforge-1.21.1.jar,Create Compressed,,,Y,1429
create_connected-1.3.2-mc1.21.1.jar,Create: Connected,https://github.com/hlysine/create_connected,modrinth-api,,
create_easy_structures-0.2a-neoforge-1.21.1.jar,Create: Easy Structures,,,Y,435
create_ez_stock_ticker-1.0.4.jar,Create: Easy Stock Ticker,https://github.com/cakeGit/Create-Ez-Stock-Ticker,modrinth-api,,
create_mechanical_spawner-1.21.1-1.3.1-6.0.10.jar,Create Mechanical Spawner,https://github.com/oierbravo/create-mechanical-spawner,modrinth-api,,
create_power_loader-2.0.5-mc1.21.1.jar,Create: Power Loader,https://github.com/hlysine/create_power_loader,modrinth-api,,
createadditionallogistics-1.21.1-1.4.5.jar,Create: Additional Logistics,https://github.com/KhloeLeclair/CreateAdditionalLogistics,modrinth-api,,
createbetterfps-1.21.1-1.1.4.jar,CreateBetterFps,https://github.com/MoePus/CreateBetterFPS,modrinth-api,,
createdeco-2.1.3.jar,Create Deco,https://github.com/talrey/CreateDeco,modrinth-api,,
createliquidfuel-2.1.1-1.21.1.jar,Create: Liquid Fuel,https://github.com/Forsteri123/CreateLiquidFuel,modrinth-api,,
createoreexcavation-1.21-1.6.8.jar,Create Ore Excavation,https://github.com/tom5454/Create-Ore-Excavation,modrinth-api,,
createprism-1.2.2.jar,Create: Prismatic Shine,,,Y,1256
createrailgrinding-1.2.2.jar,Create: Train Track Rail Grinding,https://github.com/JuniKnytt/CreateRailGrinding,modrinth-api,,
createredstonelinkgui-1.21.1-1.9.2.jar,Create: Redstone Link GUI,https://github.com/ggrgg13/Create--Redstone-Link-GUI,modrinth-api,,
curios-neoforge-9.5.1+1.21.1.jar,Curios API,https://github.com/TheIllusiveC4/Curios,modrinth-api,,
dawnoftimebuilder-neoforge-1.21.1-1.6.6.jar,Dawn of Time,https://github.com/PierreChag/dawnoftimebuilder,modrinth-api,,
deso配重sable-weighted_createdeco-1.0.2.jar,Sable: Weighted - Create: Deco [DEPRECATED],https://github.com/talrey/CreateDeco,本地 jar 元数据,Y,4633
disconnect-packet-fix-neoforge-2.0.1.jar,Disconnect Packet Fix,https://github.com/ascpixi/disconnect-packet-fix,modrinth-api,,
displaydelight-1.7.0.jar,Display Delight,https://github.com/jkvin114/display-delight-neoforge,modrinth-api,,
do_a_barrel_roll-neoforge-3.7.3+1.21.jar,Do a Barrel Roll,https://github.com/enjarai/do-a-barrel-roll,manual,,
efficient_hashing-neoforge-1.0.0+1.21.1-mod.jar,EfficientHashing,https://github.com/ZZZank/EfficientHashing,modrinth-api,,
electroenergetics-1.21.1-1.1.1.jar,Create: Electro Energetics,https://github.com/george8188625/Create-Electro-Energetics,modrinth-api,,
enchdesc-neoforge-1.21.1-21.1.11.jar,Enchantment Descriptions,https://github.com/Darkhax-Minecraft/Enchantment-Descriptions,modrinth-api,,
ends_delight-2.6.1+neoforge.1.21.1.jar,End's Delight,https://github.com/FoggyHillside/End-s-Delight,modrinth-api,,
escalated-1.3.2+mc.1.21.1.jar,Create: Escalated,https://github.com/Create-In-Locomotion/Create-Escalated,modrinth-api,,
exposure-neoforge-1.21.1-1.9.18.jar,Exposure,https://github.com/mortuusars/Exposure,modrinth-api,,
fastleafdecay-35.jar,fastleafdecay-35.jar,https://github.com/Olafski/FastLeafDecay,manual,,
fastrecipesearch-1.21.1-26.8.1-neoforge.jar,fastrecipesearch-1.21.1-26.8.1-neoforge.jar,https://github.com/nutant233/Fast-Recipe-Search,jar-meta,,
fasttag-1.21.1-26.1-neoforge.jar,fasttag-1.21.1-26.1-neoforge.jar,,,Y,232
ferritecore-7.0.3-neoforge.jar,FerriteCore,https://github.com/malte0811/FerriteCore,modrinth-api,,
flatbedrock-neoforge-87.0.0.jar,Flat Bedrock,https://github.com/nanite/Flat-Bedrock,modrinth-api,,
flerovium-neoforge-1.21.1-1.1.2-all.jar,Flerovium,https://github.com/MoePus/Flerovium,modrinth-api,,
forgified-fabric-api-0.116.15+2.3.4+1.21.1.jar,forgified-fabric-api-0.116.15+2.3.4+1.21.1.jar,https://github.com/Sinytra/ForgifiedFabricAPI,jar-meta,,
fragmentum-neoforge-1.21.1-2.4.4.jar,Fragmentum,https://github.com/ObscuriaLithium/Fragmentum,modrinth-api,,
framework-neoforge-1.21.1-0.13.11.jar,framework-neoforge-1.21.1-0.13.11.jar,https://github.com/MrCrayfish/Framework,manual,,
frequency-1.21.1-neoforge-0.2.0.jar,Frequency Create,https://github.com/MaliceZed/frequency-create,modrinth-api,,
ftb-library-neoforge-2101.1.35.jar,ftb-library-neoforge-2101.1.35.jar,https://github.com/FTBTeam/FTB-Library,manual,,
ftb-teams-neoforge-2101.1.11.jar,ftb-teams-neoforge-2101.1.11.jar,https://github.com/FTBTeam/FTB-Teams,manual,,
ftb-xmod-compat-neoforge-21.1.11.jar,ftb-xmod-compat-neoforge-21.1.11.jar,https://github.com/FTBTeam/FTB-XMod-Compat,manual,,
ftb任务增强quest_enhance-1.21.1-neoforge-3.8.jar,ftb任务增强quest_enhance-1.21.1-neoforge-3.8.jar,https://github.com/FTBTeam/FTB-Mods-Issues,本地 jar 元数据,Y,35253
fzzy_config-0.7.6+1.21+neoforge.jar,Fzzy Config,https://github.com/fzzyhmstrs/fconfig,modrinth-api,,
geckolib-neoforge-1.21.1-4.9.2.jar,Geckolib,https://github.com/bernie-g/geckolib,modrinth-api,,
goblintraders-neoforge-1.21.1-1.11.2.jar,goblintraders-neoforge-1.21.1-1.11.2.jar,https://github.com/MrCrayfish/GoblinTraders,manual,,
iris-neoforge-1.8.14-beta.1+mc1.21.1.jar,Iris Shaders,https://github.com/IrisShaders/Iris,modrinth-api,,
irons_jewelry-1.21.1-1.6.0.jar,irons_jewelry-1.21.1-1.6.0.jar,https://github.com/Iron431/irons-jewelry,manual,,
irons_spellbooks-1.21.1-3.15.2.jar,Iron's Spells 'n Spellbooks,https://github.com/Iron431/irons-spells-n-spellbooks,manual,,
