GitHub,项目名,出现整合包,Modrinth下载量,有深度报告,有速览卡片
https://github.com/Aizistral-Studios/No-Chat-Reports,No Chat Reports,ATM10/FIDR暗涌,56871072,Y,Y
https://github.com/henkelmax/sound-physics-remastered,Sound Physics Remastered,星轨重铸/璇穹之歌,52083682,Y,Y
https://github.com/CreativeMD/CreativeCore,CreativeCore,星轨重铸/璇穹之歌,50470385,Y,Y
https://github.com/thedarkcolour/KotlinForForge,kotlinforforge-5.12.0-all.jar,ATM10/FIDR暗涌/星轨重铸/璇穹之歌,49534667,Y,Y
https://github.com/Keksuccino/Melody,Melody,ATM10/星轨重铸/璇穹之歌,48711932,Y,Y
https://github.com/dzwdz/chat_heads,Chat Heads,星轨重铸,48079605,Y,Y
https://github.com/glisco03/owo-lib,oωo (owo-lib),ATM10/星轨重铸/璇穹之歌,47123906,Y,Y
https://github.com/Darkhax-Minecraft/Bookshelf,Bookshelf,ATM10/FIDR暗涌/星轨重铸/璇穹之歌,45148100,Y,Y
https://github.com/MehVahdJukaar/Moonlight,Moonlight Lib,ATM10/FIDR暗涌/星轨重铸,39793064,Y,Y
https://github.com/blackd/Inventory-Profiles,Inventory Profiles Next,FIDR暗涌,38920541,Y,Y
https://github.com/Glitchfiend/TerraBlender,TerraBlender-forge-1.20.1-3.0.1.10.jar,ATM10/FIDR暗涌/星轨重铸,38846546,Y,Y
https://github.com/fzzyhmstrs/fconfig,Fzzy Config,ATM10/星轨重铸/璇穹之歌,38375554,Y,Y
https://github.com/jaredlll08/searchables,Searchables-forge-1.20.1-1.0.3.jar,FIDR暗涌/星轨重铸,38237143,Y,
https://github.com/jaredlll08/Controlling,[键位冲突显示] Controlling-forge-1.20.1-12.0.2.jar,ATM10/FIDR暗涌/星轨重铸/璇穹之歌,38096376,Y,Y
https://github.com/CreativeMD/AmbientSounds,AmbientSounds,星轨重铸/璇穹之歌,38017227,Y,Y
https://github.com/fxmorin/memoryLeakFix,Memory Leak Fix,FIDR暗涌,37185178,Y,Y
https://github.com/Darkhax-Minecraft/Enchantment-Descriptions,Enchantment Descriptions,ATM10/FIDR暗涌/星轨重铸/璇穹之歌,36695759,Y,Y
https://github.com/Asek3/Oculus,mekalus-mc1.20.1-1.8.0.1.jar,FIDR暗涌,35627296,Y,Y
https://github.com/Glitchfiend/BiomesOPlenty,Biomes O' Plenty,星轨重铸,35200411,Y,Y
https://github.com/AHilyard/Iceberg,Iceberg [Neo/Forge],ATM10/星轨重铸/璇穹之歌,35115870,Y,Y
https://github.com/maruohon/malilib,MaLiLib,星轨重铸,34626545,Y,Y
https://github.com/FiniteReality/embeddium,Embeddium,FIDR暗涌,34553725,Y,Y
https://github.com/Team-Resourceful/ResourcefulLib,Resourceful Lib,ATM10/星轨重铸/璇穹之歌,34456376,Y,Y
https://github.com/VazkiiMods/Patchouli,Patchouli,ATM10/FIDR暗涌/星轨重铸/璇穹之歌,34331194,Y,Y
https://github.com/YUNG-GANG/YUNGs-API,YUNG's API (NeoForge) [1.20.4-1.21.1 ONLY],ATM10/星轨重铸,33970872,Y,Y
https://github.com/blackd/libIPN,libIPN,FIDR暗涌/星轨重铸,33544214,Y,Y
https://github.com/TreyRuffy/BetterF3,BetterF3,星轨重铸/璇穹之歌,33541899,Y,Y
https://github.com/illusivesoulworks/cherishedworlds,Cherished Worlds,星轨重铸,31263225,Y,Y
https://github.com/TheIllusiveC4/Curios,Refined Storage - Curios Integration,ATM10/星轨重铸/璇穹之歌,30669826,Y,Y
https://github.com/MCModderAnchor/TACZ,[TaCZ] Timeless and Classics Zero,FIDR暗涌,30074925,Y,Y
https://github.com/Sinytra/ForgifiedFabricAPI,forgified-fabric-api-0.116.15+2.3.4+1.21.1.jar,星轨重铸/璇穹之歌,27940335,Y,Y
https://github.com/TeamMidnightDust/MidnightLib,MidnightLib,星轨重铸,27430613,Y,Y
https://github.com/MehVahdJukaar/Supplementaries,Supplementaries,ATM10/星轨重铸,26900944,Y,Y
https://github.com/EuphoriaPatches/EuphoriaPatcher,Euphoria Patches,ATM10/星轨重铸,26879080,Y,Y
https://github.com/Creators-of-Create/Create,Sophisticated Backpacks Create Integration,ATM10/星轨重铸/璇穹之歌,25772215,Y,Y
https://github.com/terrarium-earth/Handcrafted,Handcrafted,ATM10/星轨重铸,25613606,Y,Y
https://github.com/way2muchnoise/BetterAdvancements,Better Advancements,ATM10/星轨重铸/璇穹之歌,25314374,Y,Y
https://github.com/MattCzyr/NaturesCompass,Nature's Compass,ATM10/星轨重铸/璇穹之歌,25283783,Y,Y
https://github.com/Tschipp/CarryOn,Carry On,星轨重铸/璇穹之歌,25254327,Y,Y
https://github.com/Fuzss/visualworkbench,Visual Workbench,星轨重铸/璇穹之歌,25213329,Y,Y
https://github.com/TwelveIterations/Waystones,Waystones,ATM10/星轨重铸,24870393,Y,Y
https://github.com/Sinytra/Connector,信雅互联connector-2.0.0-beta.17+1.21.1-full.jar,星轨重铸/璇穹之歌,24774103,Y,Y
https://github.com/illusivesoulworks/polymorph,Polymorph,ATM10/FIDR暗涌/星轨重铸/璇穹之歌,24439356,Y,Y
https://github.com/Team-Resourceful/Resourceful-Config,Resourceful Config,ATM10/星轨重铸/璇穹之歌,24115278,Y,Y
https://github.com/TwelveIterations/NetherPortalFix,NetherPortalFix,ATM10/星轨重铸,23532906,Y,Y
https://github.com/vectorwing/FarmersDelight,Farmer's Delight,ATM10/FIDR暗涌/星轨重铸/璇穹之歌,23447577,Y,Y
https://github.com/xfl03/MCCustomSkinLoader,CustomSkinLoader,FIDR暗涌/星轨重铸,23061260,Y,Y
https://github.com/Apollounknowndev/lithostitched,Lithostitched,ATM10/星轨重铸/璇穹之歌,22406731,Y,Y
https://github.com/YUNG-GANG/YUNGs-Better-Fortresses,YUNG's Better Nether Fortresses (NeoForge) [1.20.4 - 1.21.1 ONLY],ATM10/星轨重铸,22258509,Y,Y
https://github.com/noobanidus/lootr,Lootr (Forge & NeoForge),ATM10/FIDR暗涌/星轨重铸/璇穹之歌,22001897,Y,Y
https://github.com/Glitchfiend/GlitchCore,四季前置GlitchCore-neoforge-1.21.1-2.1.0.2.jar,星轨重铸/璇穹之歌,21897884,Y,Y
https://github.com/Ezzenix/ChatAnimation,Chat Animation [Smooth Chat],星轨重铸,21676778,Y,Y
https://github.com/Keksuccino/Drippy-Loading-Screen,Drippy Loading Screen,ATM10/星轨重铸,21652478,Y,Y
https://github.com/KubeJS-Mods/Rhino,[犀牛] rhino-2101.2.7-build.81.jar,ATM10/FIDR暗涌/星轨重铸/璇穹之歌,21592707,Y,Y
https://github.com/BloCamLimb/ModernUI-MC,Modern UI,星轨重铸/璇穹之歌,21528532,Y,Y
https://github.com/YUNG-GANG/YUNGs-Better-Ocean-Monuments,YUNG's Better Ocean Monuments (NeoForge) [1.20.4 - 1.21.1 ONLY],ATM10/星轨重铸,21396080,Y,Y
https://github.com/Darkhax-Minecraft/AttributeFix,AttributeFix,ATM10/FIDR暗涌/星轨重铸/璇穹之歌,21384060,Y,Y
https://github.com/YUNG-GANG/YUNGs-Better-Dungeons,YUNG's Better Dungeons (NeoForge) [1.20.4 - 1.21.1 ONLY],ATM10/星轨重铸,21380831,Y,Y
https://github.com/KubeJS-Mods/KubeJS,kubejs-neoforge-2101.7.2-build.368.jar,ATM10/FIDR暗涌/星轨重铸/璇穹之歌,20802984,Y,Y
https://github.com/Tiviacz1337/Travelers-Backpack,Traveler's Backpack,FIDR暗涌,20130952,Y,Y
https://github.com/YUNG-GANG/YUNGs-Better-Mineshafts,YUNG's Better Mineshafts (NeoForge) [1.20.4 - 1.21.1 ONLY],ATM10/星轨重铸,19790275,Y,Y
https://github.com/YUNG-GANG/YUNGs-Better-Jungle-Temples,YUNG's Better Jungle Temples (NeoForge) [1.20.4 - 1.21.1 ONLY],ATM10/星轨重铸,19733272,Y,Y
https://github.com/yungnickyoung/YUNGs-Better-End-Island,YUNG's Better End Island (NeoForge) [1.20.4 - 1.21.1 ONLY],ATM10/星轨重铸,19251154,Y,Y
https://github.com/CreativeMD/EnhancedVisuals,EnhancedVisuals,星轨重铸,18585844,Y,Y
https://github.com/txnimc/SodiumDynamicLights,Sodium Dynamic Lights,星轨重铸/璇穹之歌,18299586,Y,Y
https://github.com/YUNG-GANG/YUNGs-Better-Strongholds,YUNG's Better Strongholds (NeoForge) [1.20.4 - 1.21.1 ONLY],ATM10/星轨重铸,17817418,Y,Y
https://github.com/lender544/new1.20.1,L_Ender 's Cataclysm,ATM10/星轨重铸/璇穹之歌,17810472,Y,Y
https://github.com/pop4959/Chunky,Chunky,星轨重铸,17730960,Y,Y
https://github.com/Cristelknight999/Cristel-Lib,Cristel Lib,ATM10/星轨重铸/璇穹之歌,17579752,Y,Y
https://github.com/AHilyard/Prism,Prism [Neo/Forge],ATM10/星轨重铸,17460567,Y,Y
https://github.com/SuperMartijn642/SuperMartijn642sCoreLib,SuperMartijn642's Core Lib,ATM10/星轨重铸,17313340,Y,Y
https://github.com/YUNG-GANG/YUNGs-Better-Witch-Huts,YUNG's Better Witch Huts (NeoForge) [1.20.4 - 1.21.1 ONLY],ATM10/星轨重铸,17256951,Y,Y
https://github.com/AHilyard/AdvancementPlaques,Advancement Plaques,星轨重铸,16883362,Y,Y
https://github.com/xfl03/I18nUpdateMod3,I18nUpdateMod,FIDR暗涌/星轨重铸,16841335,Y,Y
https://github.com/AHilyard/Highlighter,Item Highlighter,星轨重铸/璇穹之歌,16642517,Y,Y
https://github.com/YUNG-GANG/YUNGs-Better-Desert-Temples,YUNG's Better Desert Temples (NeoForge) [1.20.4 - 1.21.1 ONLY],ATM10/星轨重铸,16215959,Y,Y
https://github.com/Alex-the-666/Citadel,Citadel,FIDR暗涌,16075199,Y,Y
https://github.com/Octo-Studios/octo-lib,ShatterLib | OctoLib,ATM10/星轨重铸,15880745,Y,Y
https://github.com/YUNG-GANG/YUNGs-Bridges,YUNG's Bridges,星轨重铸,15378397,Y,Y
https://github.com/Fuzss/pickupnotifier,Pick Up Notifier,星轨重铸/璇穹之歌,15219507,Y,Y
https://github.com/Theoness1/EatingAnimation,Eating Animation,星轨重铸,14982349,Y,Y
https://github.com/AlexModGuy/AlexsMobs,Alex's Mobs,FIDR暗涌,14578289,Y,Y
https://github.com/Luke100000/ImmersiveAircraft,Immersive Aircraft,FIDR暗涌,14572164,Y,Y
https://github.com/YesSteveModel/YSM-Wiki-Issues,Yes Steve Model,FIDR暗涌,14521661,Y,Y
https://github.com/Towdium/JustEnoughCharacters,JustEnoughCharacters,FIDR暗涌/星轨重铸/璇穹之歌,14257140,Y,Y
https://github.com/mortuusars/Exposure,Exposure,FIDR暗涌/星轨重铸/璇穹之歌,13876809,Y,Y
https://github.com/illusivesoulworks/elytraslot,Elytra Slot,星轨重铸,13540453,Y,Y
https://github.com/reserveword/IMBlocker,IMBlocker,FIDR暗涌/星轨重铸/璇穹之歌,13359206,Y,Y
https://github.com/wisp-forest/accessories,Accessories,星轨重铸/璇穹之歌,13294740,Y,Y
https://github.com/ochotonida/artifacts,Artifacts,ATM10/星轨重铸,13087683,Y,Y
https://github.com/DynamicTreesTeam/DynamicTrees,Dynamic Trees,星轨重铸,12924125,Y,Y
https://github.com/Darkhax-Minecraft/PrickleMC,Prickle,ATM10/星轨重铸/璇穹之歌,12534630,Y,Y
https://github.com/MehVahdJukaar/DuMmmMmmy,MmmMmmMmmMmm (Target Dummy),ATM10/FIDR暗涌,12115585,Y,Y
https://github.com/Exopandora/ShoulderSurfing,Shoulder Surfing Reloaded,星轨重铸,11490068,Y,Y
https://github.com/rfresh2/XaeroPlus,XaeroPlus,星轨重铸,11463900,Y,Y
https://github.com/MattCzyr/ExplorersCompass,[探险者指南针 修改] explorerscompass-edited-1.21.1-3.0.4-neoforge.jar,ATM10/星轨重铸/璇穹之歌,11331909,Y,Y
https://github.com/starfish-studios/Naturalist,Naturalist,星轨重铸,10929146,Y,Y
https://github.com/TartaricAcid/TouhouLittleMaid,Touhou Little Maid,FIDR暗涌/璇穹之歌,10892363,Y,Y
https://github.com/McJtyMods/LostCities,The Lost Cities,FIDR暗涌,10745713,Y,Y
https://github.com/Motschen/Blur,Blur+,星轨重铸,10636583,Y,Y
https://github.com/sketchmacaw/Fences,Macaw's Fences and Walls,ATM10/星轨重铸/璇穹之歌,10612404,Y,Y
https://github.com/EngineHub/WorldEdit,WorldEdit,FIDR暗涌,10515226,Y,Y
https://github.com/YUNG-GANG/Paxi,Paxi,星轨重铸,10419446,Y,Y
https://github.com/mrh0/createaddition,Create Crafts & Additions,ATM10/星轨重铸/璇穹之歌,10387983,Y,Y
https://github.com/bonsaistudi0s/Creeper-Overhaul,Creeper Overhaul,ATM10/星轨重铸,10346120,Y,Y
https://github.com/Serilum/Starter-Kit,Starter Kit,星轨重铸,10252033,Y,Y
https://github.com/AHilyard/LegendaryTooltips,Legendary Tooltips,星轨重铸,10225434,Y,Y
https://github.com/decce6/Ixeris,Ixeris,星轨重铸/璇穹之歌,10184435,Y,Y
https://github.com/copycats-plus/copycats,Create: Copycats+,星轨重铸/璇穹之歌,10007663,Y,Y
https://github.com/Qelifern/IronFurnaces,Iron Furnaces,ATM10/星轨重铸,9358180,Y,Y
https://github.com/FoggyHillside/End-s-Delight,End's Delight,FIDR暗涌/璇穹之歌,9106919,Y,Y
https://github.com/YUNG-GANG/Travelers-Titles,Traveler's Titles,星轨重铸,9051953,Y,Y
https://github.com/sketchmacaw/Bridges,Macaw's Bridges,ATM10/星轨重铸/璇穹之歌,9029741,Y,Y
https://github.com/illusivesoulworks/charmofundying,Charm of Undying,星轨重铸,8733886,Y,Y
https://github.com/DynamicTreesTeam/DynamicTreesPlus,Dynamic Trees Plus,星轨重铸,8638644,Y,Y
https://github.com/Luke100000/ImmersiveMelodies,Immersive Melodies,星轨重铸/璇穹之歌,8603129,Y,Y
https://github.com/ItsBlackGear/Platform,Platform,星轨重铸,8524835,Y,Y
https://github.com/Let-s-Do-Collection/Beachparty,[Let's Do] Beachparty,星轨重铸,8127651,Y,Y
https://github.com/Minenash/Enhanced-Attack-Indicator,Enhanced Attack Indicator,星轨重铸,7993414,Y,Y
https://github.com/bonsaistudi0s/Enderman-Overhaul,Enderman Overhaul,ATM10/星轨重铸,7881987,Y,Y
https://github.com/Creators-of-Aeronautics/Simulated-Project,Create Aeronautics,星轨重铸/璇穹之歌,7880888,Y,Y
https://github.com/MaxenceDC/sparsestructures,Sparse Structures,星轨重铸,7805818,Y,Y
https://github.com/TheIllusiveC4/Caelus,Caelus API,ATM10/星轨重铸,7667380,Y,Y
https://github.com/Miauczel/Legendary-Monsters-1.21.1-NeoForge,Legendary Monsters,星轨重铸/璇穹之歌,7541095,Y,Y
https://github.com/Schauweg/Smooth-Swapping,Smooth Swapping,星轨重铸,7456536,Y,Y
https://github.com/TJT01/GlobalServerConfig,Global Server Config,FIDR暗涌,7428932,Y,Y
https://github.com/Cannoneers-of-Create/CreateBigCannons,Create Big Cannons,星轨重铸/璇穹之歌,7396939,Y,Y
https://github.com/team-abnormals/blueprint,Blueprint,FIDR暗涌,7369305,Y,Y
https://github.com/KosmX/emotes,Emotecraft,星轨重铸,7347402,Y,Y
https://github.com/talrey/CreateDeco,Create Deco,星轨重铸/璇穹之歌,7322738,Y,Y
https://github.com/CircuitLord/AdventureRedefined,Reactive Music,星轨重铸,7157077,Y,Y
https://github.com/way2muchnoise/JustEnoughResources,Just Enough Resources (JER),星轨重铸,6641545,Y,Y
https://github.com/hlysine/create_connected,Create: Connected,星轨重铸/璇穹之歌,6554397,Y,Y
https://github.com/bl4ckscor3/Sit,Sit,星轨重铸,6490609,Y,Y
https://github.com/Octo-Studios/immersive-ui,Immersive UI,星轨重铸,6231327,Y,Y
https://github.com/ITsMrToad/GpuTape,GPUBooster,星轨重铸,6077127,Y,Y
https://github.com/yungnickyoung/YUNGs-Menu-Tweaks,YUNG's Menu Tweaks,星轨重铸,6048421,Y,Y
https://github.com/AppliedEnergistics/Applied-Energistics-2,Applied Energistics 2,ATM10/FIDR暗涌/星轨重铸,5850461,Y,Y
https://github.com/fonnymunkey/SimpleHats,Simple Hats,星轨重铸,5829007,Y,Y
https://github.com/Kitteh6660/DramaticDoors,Dramatic Doors,FIDR暗涌,5736057,Y,Y
https://github.com/george8188625/Create-Diesel-Generators,Create: Diesel Generators,星轨重铸/璇穹之歌,5695778,Y,Y
https://github.com/DragonsPlusMinecraft/CreateEnchantmentIndustry,Create: Enchantment Industry,ATM10/星轨重铸/璇穹之歌,5517913,Y,Y
https://github.com/DragonsPlusMinecraft/VisualityReforged,Visuality: Reforged,星轨重铸,5503014,Y,Y
https://github.com/Cheaterpaul/fallingleaves,Falling Leaves (NeoForge/Forge),星轨重铸,5439161,Y,Y
https://github.com/samedifferent/Ecologics,Ecologics,星轨重铸,5421393,Y,Y
https://github.com/ryanhcode/sable,Sable,星轨重铸/璇穹之歌,5393489,Y,Y
https://github.com/TwelveIterations/ForgivingVoid,Forgiving Void,星轨重铸,5376631,Y,Y
https://github.com/FoundationGames/Automobility,Automobility,FIDR暗涌,5261787,Y,Y
https://github.com/sketchmacaw/Paths-Pavings,Macaw's Paths and Pavings,ATM10/星轨重铸,5246800,Y,Y
https://github.com/DragonsPlusMinecraft/CreateCentralKitchen,Create: Central Kitchen,星轨重铸/璇穹之歌,5139378,Y,Y
https://github.com/MrMelon54/draggable_lists,Draggable Lists,星轨重铸,4741695,,Y
https://github.com/Fuzss/mutantmonsters,Mutant Monsters,星轨重铸,4729432,,Y
https://github.com/MoePus/Flerovium,Flerovium,星轨重铸/璇穹之歌,4564627,Y,Y
https://github.com/TartaricAcid/NetMusic,Net Music,FIDR暗涌/璇穹之歌,4508452,Y,Y
https://github.com/sudolev/CreateInteriorsMod,Create: Interiors,星轨重铸/璇穹之歌,4466412,Y,Y
https://github.com/Terrails/colorful-hearts,Colorful Hearts,ATM10/FIDR暗涌/璇穹之歌,4279170,Y,Y
https://github.com/lender544/Lionfish-API,Lionfish-API,ATM10/星轨重铸/璇穹之歌,4028378,Y,Y
https://github.com/teamfusion/rottencreatures,Rotten Creatures,星轨重铸,3842478,,Y
https://github.com/decce6/Gnetum,Gnetum,星轨重铸/璇穹之歌,3727975,Y,Y
https://github.com/mekanism/Mekanism,Refined Storage - Mekanism Integration,ATM10/FIDR暗涌/星轨重铸,3609437,Y,Y
https://github.com/Monad-Modding/BrewinAndChewin,Brewin' And Chewin',FIDR暗涌/璇穹之歌,3602178,Y,Y
https://github.com/BluSunrize/ImmersiveEngineering,Immersive Engineering,ATM10/FIDR暗涌/星轨重铸,3472261,Y,Y
https://github.com/McJtyMods/InControl,In Control!,ATM10/FIDR暗涌,3456393,Y,Y
https://github.com/1foxy2/neo_mod_menu,Better ModList,星轨重铸,3433103,,Y
https://github.com/Minecraft-LightLand/L2Library,L2 Library,星轨重铸/璇穹之歌,3426315,Y,Y
https://github.com/Lightman314/LightmansCurrency,Lightman's Currency,星轨重铸,3296944,,Y
https://github.com/TheCBProject/CodeChickenLib,CodeChicken Lib,星轨重铸,3242695,,Y
https://github.com/Wagers-of-Industrial-Warfare/RitchiesProjectileLib,Ritchie's Projectile Library,星轨重铸/璇穹之歌,3226551,Y,Y
https://github.com/Serilum/Inventory-Totem,Inventory Totem,星轨重铸,3071560,,Y
https://github.com/juancarloscp52/spyglass-improvements,Spyglass Improvements,FIDR暗涌,3071468,,Y
https://github.com/Minecraft-LightLand/L2Complements,l2complements-3.1.3.jar,星轨重铸/璇穹之歌,3063861,Y,Y
https://github.com/Xalcon/TorchMaster,TorchMaster,ATM10/星轨重铸/璇穹之歌,3011903,Y,Y
https://github.com/Umpaz/NethersDelight,Nether's Delight,FIDR暗涌,3006711,,Y
https://github.com/AppliedEnergistics/GuideME,GuideME,ATM10/FIDR暗涌/星轨重铸,2958890,Y,Y
https://github.com/Mari023/AE2WirelessTerminalLibrary,Applied Energistics 2 Wireless Terminals,ATM10/星轨重铸,2941859,Y,Y
https://github.com/alRex-U/ParCool,ParCool!,FIDR暗涌,2913216,,Y
https://github.com/LopyMine/Inventory-Particles,Inventory Particles,星轨重铸,2894774,,Y
https://github.com/DragonsPlusMinecraft/CreateDragonsPlus,Create: Dragons Plus,ATM10/星轨重铸/璇穹之歌,2894111,Y,Y
https://github.com/CreativeMD/ItemPhysic,ItemPhysic,星轨重铸,2877840,,Y
https://github.com/Tictim/Paraglider,Paragliders,FIDR暗涌,2711875,,Y
https://github.com/Minecraft-LightLand/L2Hostility,l2hostility-3.0.18.jar,星轨重铸/璇穹之歌,2631271,Y,Y
https://github.com/progwml6/ironchest,Iron Chests,星轨重铸,2556288,,Y
https://github.com/Darkhax-Minecraft/Max-Health-Fix,Max Health Fix,FIDR暗涌/璇穹之歌,2555055,Y,Y
https://github.com/LopyMine/MossyLib,MossyLib,星轨重铸,2385486,,Y
https://github.com/Low-Drag-MC/LDLib-Architectury,LDLib,星轨重铸/璇穹之歌,2216485,Y,Y
https://github.com/PoppyBlossom/Railway-1.21.1,Steam 'n' Rails Neoforge,星轨重铸/璇穹之歌,2177116,Y,Y
https://github.com/CoFH/CoFHCore,CoFH Core,FIDR暗涌,2163573,,Y
https://github.com/VsnGamer/ElevatorMod,ElevatorMod,星轨重铸,2153531,,Y
https://github.com/Darkhax-Minecraft/BotanyPots,Botany Pots,ATM10/星轨重铸,2039626,Y,Y
https://github.com/0999312/MMLib,Mysterious Mountain Lib,FIDR暗涌/璇穹之歌,1957511,Y,Y
https://github.com/skyecodes/IBE-Editor,IBE Editor,FIDR暗涌,1948797,,Y
https://github.com/Fuzss/universalenchants,Universal Enchants,星轨重铸,1784061,,Y
https://github.com/Mars-The-Planet/Deimos,Deimos,星轨重铸,1683202,Y,Y
https://github.com/MagicHarp/confluence,Terra Curio,星轨重铸,1681557,,Y
https://github.com/AlmostReliable/merequester,ME Requester,ATM10/星轨重铸,1641811,Y,Y
https://github.com/BlakeBr0/Cucumber,Cucumber Library,ATM10/星轨重铸,1633732,Y,Y
https://github.com/Mars-The-Planet/More-Music-Discs,More Music Discs,星轨重铸,1569418,Y,Y
https://github.com/DrexHD/quick-pack,quick pack,星轨重铸,1546992,,Y
https://github.com/ZhuRuoLing/startup-time,Startup Time,星轨重铸,1474304,,Y
https://github.com/Arsenalists-of-Create/Create-Radar,Create: Radars,星轨重铸/璇穹之歌,1428741,Y,Y
https://github.com/decce6/AsyncLogger,Async Logger,星轨重铸/璇穹之歌,1427265,Y,Y
https://github.com/jkvin114/display-delight-neoforge,Display Delight,FIDR暗涌/璇穹之歌,1364708,Y,Y
https://github.com/Insane96/InsaneLib,InsaneLib,FIDR暗涌,1323843,,Y
https://github.com/0999312/Corn-Delight,Corn Delight,FIDR暗涌,1322017,,Y
https://github.com/Suel-ki/FoodEffectTooltips-Forge,Food Effect Tooltips (Forge),FIDR暗涌,1319917,,Y
https://github.com/BlakeBr0/MysticalAgriculture,Botany Pots - Mystical Agriculture Compat,ATM10/星轨重铸,1195468,Y,Y
https://github.com/AllenSeitz/DimDungeons,Dimensional Dungeons,星轨重铸,1147133,Y,Y
https://github.com/Low-Drag-MC/Photon,Photon Editor,星轨重铸,1144431,,Y
https://github.com/kltyton/LightSpeedRe,LightSpeedRe,FIDR暗涌/璇穹之歌,1136499,Y,Y
https://github.com/Moralle/VanillaCookbook,Vanilla Cookbook,FIDR暗涌,1099727,,Y
https://github.com/PedroRok/CreateHypertubes,Create: Hypertubes,ATM10/星轨重铸/璇穹之歌,1061082,Y,Y
https://github.com/Shadows-of-Fire/Placebo,Placebo,ATM10/星轨重铸/璇穹之歌,1056163,Y,Y
https://github.com/btwonion/KotlinLangForge,KotlinLangForge,星轨重铸,1045255,,Y
https://github.com/TeamMetallurgy/Aquaculture,Aquaculture 2,ATM10/星轨重铸,1005117,Y,Y
https://github.com/Xiaoyu-2009/visual_recipe_editor,Workstation Recipe Exporter,FIDR暗涌,995588,,Y
https://github.com/afoxxvi/AsteorBarMod,AsteorBar,星轨重铸,972610,,Y
https://github.com/mortuusars/ExposurePolaroid,Exposure: Polaroid,FIDR暗涌,968493,Y,Y
https://github.com/Keksuccino/ModernWorldCreation,Modern World Creation,星轨重铸,945090,,Y
https://github.com/MUKSC/TACZ-1.21.1,[UNOFFICIAL] TaCZ 1.21.1 NeoForge Port,星轨重铸,930366,Y,Y
https://github.com/Create-In-Locomotion/Create-Escalated,Create: Escalated,星轨重铸/璇穹之歌,890016,Y,Y
https://github.com/Penumbra-MC/Enderscape,Enderscape,星轨重铸,862758,,Y
